iter	Passed	Remaining
0	17	17304
1	22	11288
2	38	12806
3	51	12831
4	56	11242
5	71	11766
6	84	12020
7	97	12038
8	110	12205
9	115	11386
10	127	11468
11	140	11547
12	144	10973
13	148	10456
14	161	10603
15	166	10248
16	174	10068
17	188	10276
18	201	10400
19	215	10535
20	221	10331
21	234	10446
22	239	10194
23	256	10413
24	264	10334
25	277	10390
26	283	10207
27	295	10260
28	299	10024
29	307	9942
30	311	9732
31	316	9588
32	320	9399
33	328	9338
34	339	9364
35	353	9458
36	364	9490
37	368	9327
38	374	9218
39	379	9112
40	392	9175
41	405	9240
42	413	9202
43	417	9070
44	421	8939
45	424	8813
46	436	8853
47	448	8901
48	461	8948
49	473	8988
50	485	9042
51	491	8967
52	500	8937
53	510	8939
54	514	8833
55	517	8726
56	523	8665
57	527	8570
58	538	8584
59	550	8618
60	555	8556
61	568	8595
62	576	8572
63	582	8525
64	596	8578
65	609	8621
66	622	8666
67	632	8673
68	640	8647
69	652	8669
70	664	8694
71	676	8718
72	684	8696
73	696	8718
74	700	8640
75	705	8583
76	711	8528
77	723	8551
78	735	8572
79	741	8521
80	751	8530
81	755	8459
82	759	8387
83	762	8317
84	768	8272
85	780	8293
86	791	8311
87	804	8333
88	808	8270
89	815	8250
90	824	8234
91	836	8260
92	842	8219
93	853	8224
94	866	8250
95	877	8261
96	890	8289
97	897	8261
98	910	8283
99	922	8305
100	928	8268
101	942	8297
102	955	8321
103	968	8342
104	972	8287
105	984	8304
106	999	8345
107	1005	8301
108	1023	8364
109	1033	8357
110	1040	8335
111	1055	8368
112	1070	8399
113	1085	8433
114	1098	8450
115	1112	8478
116	1126	8502
117	1149	8590
118	1164	8620
119	1179	8649
120	1193	8673
121	1209	8703
122	1215	8670
123	1229	8684
124	1235	8646
125	1248	8658
126	1261	8670
127	1274	8683
128	1288	8698
129	1302	8715
130	1306	8667
131	1319	8677
132	1336	8712
133	1350	8725
134	1362	8732
135	1375	8741
136	1388	8746
137	1400	8750
138	1414	8762
139	1437	8831
140	1455	8868
141	1468	8874
142	1477	8853
143	1490	8860
144	1503	8866
145	1517	8875
146	1526	8858
147	1540	8867
148	1553	8873
149	1559	8838
150	1572	8841
151	1585	8847
152	1598	8849
153	1611	8854
154	1624	8855
155	1637	8859
156	1650	8861
157	1663	8863
158	1676	8866
159	1690	8873
160	1702	8869
161	1715	8873
162	1728	8875
163	1741	8875
164	1753	8874
165	1765	8870
166	1778	8872
167	1791	8872
168	1804	8871
169	1817	8872
170	1830	8872
171	1842	8868
172	1854	8867
173	1867	8865
174	1880	8863
175	1892	8861
176	1905	8858
177	1917	8855
178	1930	8852
179	1942	8849
180	1955	8849
181	1969	8850
182	1982	8851
183	1997	8858
184	2012	8865
185	2027	8871
186	2040	8872
187	2055	8875
188	2068	8874
189	2076	8852
190	2089	8849
191	2102	8847
192	2115	8845
193	2128	8844
194	2142	8845
195	2156	8844
196	2169	8841
197	2181	8836
198	2193	8831
199	2207	8829
200	2220	8828
201	2233	8825
202	2246	8821
203	2259	8818
204	2272	8813
205	2285	8809
206	2298	8805
207	2311	8801
208	2324	8796
209	2336	8789
210	2349	8784
211	2362	8781
212	2375	8776
213	2388	8772
214	2401	8766
215	2416	8772
216	2432	8778
217	2446	8774
218	2460	8772
219	2474	8773
220	2487	8769
221	2502	8769
222	2514	8761
223	2527	8756
224	2540	8751
225	2553	8745
226	2566	8739
227	2579	8733
228	2593	8731
229	2605	8722
230	2618	8716
231	2630	8709
232	2643	8701
233	2656	8695
234	2669	8689
235	2681	8682
236	2694	8676
237	2707	8669
238	2721	8664
239	2734	8658
240	2747	8652
241	2756	8632
242	2768	8624
243	2781	8619
244	2794	8612
245	2807	8604
246	2819	8595
247	2832	8587
248	2844	8580
249	2856	8570
250	2869	8564
251	2883	8558
252	2896	8552
253	2909	8545
254	2921	8536
255	2934	8528
256	2947	8522
257	2961	8518
258	2974	8510
259	2988	8505
260	2994	8479
261	3010	8478
262	3024	8476
263	3038	8472
264	3052	8467
265	3065	8460
266	3078	8451
267	3091	8442
268	3101	8427
269	3107	8401
270	3119	8392
271	3133	8386
272	3146	8377
273	3158	8369
274	3172	8363
275	3184	8354
276	3197	8346
277	3208	8333
278	3221	8325
279	3234	8316
280	3247	8308
281	3260	8300
282	3273	8293
283	3286	8286
284	3299	8277
285	3312	8269
286	3325	8261
287	3331	8235
288	3344	8227
289	3357	8219
290	3370	8212
291	3374	8182
292	3387	8174
293	3394	8150
294	3408	8144
295	3426	8149
296	3442	8149
297	3456	8142
298	3469	8133
299	3482	8126
300	3496	8118
301	3509	8110
302	3522	8102
303	3535	8093
304	3548	8085
305	3561	8077
306	3570	8059
307	3583	8050
308	3597	8044
309	3610	8037
310	3624	8028
311	3637	8021
312	3646	8002
313	3658	7993
314	3671	7984
315	3684	7975
316	3698	7967
317	3711	7960
318	3727	7957
319	3742	7953
320	3757	7947
321	3771	7940
322	3784	7933
323	3797	7923
324	3810	7914
325	3823	7905
326	3829	7882
327	3843	7873
328	3856	7866
329	3870	7857
330	3883	7848
331	3896	7839
332	3909	7831
333	3923	7823
334	3929	7801
335	3943	7793
336	3957	7785
337	3970	7775
338	3983	7767
339	3997	7759
340	4015	7759
341	4030	7754
342	4045	7748
343	4058	7739
344	4072	7731
345	4085	7721
346	4098	7711
347	4110	7702
348	4124	7694
349	4137	7684
350	4150	7674
351	4163	7664
352	4176	7654
353	4189	7645
354	4202	7636
355	4216	7627
356	4228	7616
357	4241	7606
358	4254	7595
359	4267	7585
360	4280	7576
361	4293	7567
362	4306	7557
363	4320	7548
364	4333	7539
365	4345	7528
366	4358	7518
367	4372	7509
368	4384	7498
369	4398	7488
370	4410	7478
371	4427	7474
372	4443	7469
373	4456	7459
374	4469	7449
375	4482	7438
376	4495	7428
377	4508	7419
378	4522	7409
379	4535	7400
380	4549	7392
381	4562	7381
382	4575	7371
383	4589	7361
384	4601	7350
385	4614	7339
386	4625	7326
387	4638	7316
388	4651	7306
389	4664	7296
390	4677	7285
391	4690	7275
392	4703	7264
393	4716	7253
394	4728	7243
395	4741	7231
396	4753	7220
397	4766	7209
398	4774	7192
399	4787	7180
400	4800	7170
401	4813	7160
402	4826	7150
403	4840	7140
404	4854	7131
405	4867	7122
406	4880	7111
407	4893	7100
408	4907	7090
409	4920	7080
410	4933	7070
411	4947	7060
412	4960	7050
413	4973	7039
414	4986	7029
415	4999	7018
416	5015	7011
417	5034	7010
418	5053	7007
419	5066	6996
420	5080	6986
421	5093	6976
422	5106	6966
423	5120	6956
424	5133	6945
425	5146	6935
426	5159	6923
427	5172	6913
428	5185	6902
429	5198	6891
430	5212	6881
431	5225	6870
432	5238	6859
433	5252	6849
434	5265	6839
435	5278	6827
436	5291	6817
437	5304	6805
438	5316	6794
439	5329	6783
440	5342	6772
441	5355	6761
442	5369	6750
443	5382	6739
444	5395	6729
445	5408	6718
446	5422	6707
447	5434	6696
448	5447	6685
449	5461	6675
450	5478	6668
451	5493	6660
452	5507	6650
453	5521	6640
454	5535	6630
455	5548	6619
456	5561	6608
457	5574	6596
458	5586	6585
459	5599	6573
460	5611	6561
461	5624	6549
462	5637	6538
463	5650	6527
464	5664	6516
465	5676	6505
466	5689	6493
467	5702	6482
468	5715	6470
469	5728	6459
470	5741	6448
471	5754	6436
472	5767	6426
473	5780	6415
474	5793	6403
475	5807	6392
476	5820	6381
477	5832	6369
478	5846	6358
479	5859	6347
480	5873	6337
481	5886	6326
482	5899	6314
483	5912	6303
484	5926	6293
485	5940	6282
486	5954	6271
487	5967	6260
488	5980	6249
489	5993	6238
490	6007	6227
